ETC_20150211_000001	케파	Kepa
ETC_20150211_000106	케파가 꽃을 피우느라 폭삭 늙어버렸습니다. 매운 향이 한층 더 강해졌으니 주의.	Kepas has I have aging Pokusaku to suck the flower. Note from spicy scent has become even stronger.
ETC_20150211_000107	겔스바스 늙은케파	Gelsvas Old Kepa
ETC_20150211_000108	검은 늙은케파	Black old Kepa
ETC_20150211_000109	붉은 늙은케파	Red old Kepa
ETC_20150211_000110	늙어 색이 변할 정도로 오래 생존한 케파는 그런 만큼 더 위험합니다.	Kepa color survived change as long as old is only by risk it.
ETC_20150211_000111	대형 늙은케파	Large old Kepa
ETC_20150211_000112	라플레시아	Rafflesia
ETC_20150211_000113	초록 라플레시아	Green Rafflesia
ETC_20150211_000114	검은 라플레시아	Black Rafflesia
ETC_20150211_000115	이 식물의 잎은 가죽보다 강하다고 합니다.	Leaves of this plant, I will and stronger than leather.
ETC_20150211_000116	붉은 라플레시아	Red Rafflesia
ETC_20150211_000117	라플리	Raffly
ETC_20150211_000118	라플리 변이된 후에도 작은 곤충을 사냥합니다.	Even after it has been Rapururi mutations, and hunting small insects.
ETC_20150211_000119	푸른 라플리	Blue Raffly
ETC_20150211_000120	회색 라플리	Gray Raffly
ETC_20150211_000121	검은 라플리	Black Raffly
ETC_20150211_000122	리디메드	Ridimed
ETC_20150211_000123	푸른 리디메드	Blue Ridimed
ETC_20150211_000124	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다.	Has been deformed by the pool, the entire body is solid wood now.
ETC_20150211_000125	검은 리디메드	Black Ridimed
ETC_20150211_000126	붉은 리디메드	Red Ridimed
ETC_20150211_000127	사크몰리	Sakmoli
ETC_20150211_000128	다리를 공격한다고 쓰러지지 않습니다. 	It does not fall down when you attack the legs.
ETC_20150211_000129	초록 사크몰리	Green Sakmoli
ETC_20150211_000130	주홍 사크몰리	Orange Sakmoli
ETC_20150211_000131	검은 사크몰리	Black Sakmoli
ETC_20150211_000132	리카우스	Rikaus
ETC_20150211_000133	초록 어패리션	Green Apparition
ETC_20150211_000134	마족의 영향을 받은 유령은 이처럼 생김새가 달리지는 일이 많습니다.	Ghost that were affected by the Asmodian is this way there are many day running appearance.
ETC_20150211_000135	검은 어패리션	Black Apparition
ETC_20150211_000136	스펙트라	Spectra
ETC_20150211_000137	검은 스펙트라	Black spectrum
ETC_20150211_000138	다른 먕령류의 몬스터와 달리 이들은 살았을 적에도 사악한 영혼인 경우가 많습니다.	Unlike the monsters of other Myan Leong Ryu, these are often it is an evil soul also the time you were alive.
ETC_20150211_000139	대형 스펙터	Giant Specter
ETC_20150211_000140	현혹의 스펙터	Specter of Dazzled
ETC_20150211_000141	초록 리카우스	Green Rikaus
ETC_20150211_000142	스펙트론	Spectron
ETC_20150211_000143	스펙터 군주	Specter Master
ETC_20150211_000144	던볼	Dunball
ETC_20150211_000145	부유형 씨앗이 변이되면서 부유능력은 잃지 않고 솜털은 가시와 단단한 외피로 변형된 몬스터입니다.	Part is kind of seeds change, fluffy without losing abundant capacity is monster that has been transformed into the outer skin of visibility and solid.
ETC_20150211_000146	빅던볼	Big thornball
ETC_20150211_000147	우드스피릿	Woodspirit
ETC_20150211_000148	푸른 우드스피릿	Blue Woodspirit
ETC_20150211_000149	초록 우드스피릿	Green Woodspirit
ETC_20150211_000150	우드맨	Woodman
ETC_20150211_000151	우드맨이 움직이지 못하는 점은 큰 축복이라 하겠습니다.	that Woodman does not move I will a big blessing.
ETC_20150211_000152	푸른 우드맨	Blue Woodman
ETC_20150211_000153	회색 우드맨	Gray Woodman
ETC_20150211_000154	붉은 우드맨	Red Woodman
ETC_20150211_000155	다크슬라임	slime_dark
ETC_20150211_000156	슬라임은 최종 형태는 비슷해도 원형이 되는 물질의 차이에 따라 다양한 종류가 생깁니다.	Slime, depending on the difference in the final form is the prototype and also similar materials, various types occurs.
ETC_20150211_000157	러스라트	rusrat
ETC_20150211_000158	자카리엘 왕릉을 시점으로 여러 유적에 배치되어 침입자를 처치하면서 도굴꾼들에게 얻은 별명입니다.	In perspective the Zasharieru King Mausoleum, is the nickname obtained demons while getting rid of the intruder are arranged in a plurality of ruins.
ETC_20150211_000159	메다키아	medakia
ETC_20150211_000160	궁정마법사들은 침입자가 단순 도굴꾼이 아닐 때를 대비해 메다키아를 만들었습니다.	Court sorcerers, in preparation for when there is no simple ghouls attacker, has created a backpack Kia.
ETC_20150211_000161	휠렌	Wheelen
ETC_20150211_000162	밀폐된 유적을 관리자없이 수호하기 위해 다양한 마법피조물이 만들어졌으며 휠렌도 그 한 종류입니다	In order to without administrator patron a sealed ruins, is created creatures of various magic, Firuren is also the kind
ETC_20150211_000163	휠렌3	Wheelen 3
ETC_20150211_000164	마우로스	mauros
ETC_20150211_000165	왕릉석기병은 강하고 노련한 중무장 기사도 감당할 정도로 만들어진 마법피조물입니다.	Wang Ling stoneware bottle is creatures of strongly clever heavily armed articles were also made about margin magic.
ETC_20150211_000166	트리펠리	truffle
ETC_20150211_000167	원인은 모르나 인간을 극히 증오하는 몬스터이며 생존이나 먹이보다 인간을 공격하기 좋아합니다.	Cause do not know, is a monster that extremely hate the man, I like to attack the human than the survival and food.
ETC_20150211_000168	트리펠리아	Treepellia
ETC_20150211_000169	브람블	bramble
ETC_20150211_000170	브람블의 분신	Bramble Ego
ETC_20150211_000171	윌로우	Willow
ETC_20150211_000172	윌로우나	Willowna
ETC_20150211_000173	하나밍	Hanaming
ETC_20150211_000174	하나밍이 죽으며 떨어진 잎은 대개 급속히 시듭니다.	Leaves dropped that killed one light, usually rapidly.
ETC_20150211_000175	츄파카브라	Chupacabra
ETC_20150211_000176	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다.	Growing number after vegetation disaster, tend to compete for human and area became larger.
ETC_20150211_000177	회색 츄파카브라	Gray Chupacabra
ETC_20150211_000178	대형 회색 츄파카브라	Large Gray Chupacabra
ETC_20150211_000179	츄파카브라는 은밀하게 움직입니다. 그리고 이 점은 엘리트 츄파카브라의 경우 인간에게 더욱 위험합니다. 	Chupacabra will move in secret. And this point, if the elite Chupacabra, is more dangerous for humans.
ETC_20150211_000180	노란 츄파카브라	Yellow Chupacabra
ETC_20150211_000181	포포리온	Popolion
ETC_20150211_000182	누군가에 의하면 포포리온의 고음은 유리병도 깨뜨릴 수 있다고 합니다.	According to someone, and then the treble of Poporion can break even glass bottles.
ETC_20150211_000183	사우가	Sauga
ETC_20150211_000184	사우가스	Saugas
ETC_20150211_000185	스콜피온	Scorpion
ETC_20150211_000186	톤투리아	Tontulia
ETC_20150211_000187	톤투스가 활동력을 지니도록 변이한 몬스터입니다.	Tone tooth is the mutated monster who has activities force.
ETC_20150211_000188	톤투스	Tontus
ETC_20150211_000189	선인장이 톤투스로 변이되면서 건조한 지역 거주자의 힘든 환경은 더욱 악화되었습니다. 	Cactus is mutated to tons Tooth, dry harsh environment of residents of the region was further worsened.
ETC_20150211_000190	베카라베	Vekarabe
ETC_20150211_000191	베카라베는 다른 동물에 비하면 원형 그대로 몬스터화했습니다. 물론 공격성은 예외입니다.	Compared to Bebikarabe other animals were kept monster of the circular. Of course, aggression is an exception.
ETC_20150211_000192	제페토	Geppetto
ETC_20150211_000193	이 몬스터의 명칭은 외양과는 어울리지만, 그 성질은 전혀 반영하지 않고 있습니다.	The name of this monster, but suit the appearance, the nature of which you have without any reflection.
ETC_20150211_000194	부우크	Boowook
ETC_20150211_000195	자카리엘이 남긴 왕릉의 수비시설 중의 하나입니다.	Zasharieru is the one of the defensive facilities king Ling who left.
ETC_20150211_000196	베아카라스	Bearkaras
ETC_20150211_000197	피노	Pino
ETC_20150211_000198	초기 발견자들은 제페토와 피노 사이에 유사성이 있다고 생각해 이런 이름을 붙였습니다.	Early discoverer, to think that there is a similarity between the Zepetto and Pinot, I put such name.
ETC_20150211_000199	투구벌레	Helmet bug
ETC_20150211_000200	단순히 크기와 공격성만 더 강화된 이런 몬스터는 차라리 안심이 됩니다.	Simply size and aggression is more enhanced such monsters will be peace of mind rather.
ETC_20150211_000201	콜리플라워	Cauliflower
ETC_20150211_000202	이 고정형 몬스터는 딱히 인간에게 적대적이진 않으나 모든 항온동물을 공격합니다.	The fixed type monster does Mase hostile binary especially in humans, but I will attack all of a warm-blooded animal.
ETC_20150211_000203	콜리플라워르	Cauliflower
ETC_20150211_000204	비카라스	Vikaras
ETC_20150211_000205	기원은 왕릉의 시설물이지만 현재는 모든 생명체를 공격하는 오작동 상태입니다.	Origin, but is a facility of the King Mausoleum, now is the malfunction state to attack all creatures.
ETC_20150211_000206	코카트리스	Cockatries
ETC_20150211_000207	작은 크기의 코카트리스입니다. 물론 석화에 주의해야합니다.	It is a cockatrice of small size. Of course, you need to be aware of the mineralization.
ETC_20150211_000208	툼독	Tsumudoku
ETC_20150211_000209	지누테카스	zinutekas
ETC_20150211_000210	외양이 유사한 다른 몬스터와 혼동되기도 하지만, 이들은 인공적인 마법피조물입니다.	also appearance is confused with other monsters that are similar, but these are creatures of artificial magic.
ETC_20150211_000211	포쿠부	Pokubu
ETC_20150211_000212	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다.	Appearance Whatever, it is Poku part ferocious beast.
ETC_20150211_000213	회색 포쿠부	Gray Pokubu
ETC_20150211_000214	지누테나	Jinutena
ETC_20150211_000215	라우지누테나	Lauzinutena
ETC_20150211_000216	단델	Danderu
ETC_20150211_000217	단델의 솜털이 각질화한 것보다 무서운 것은 늘어난 활동력과 공격성입니다. 	Fluff of Danderu that horrible than those keratinization, it is increasing the vitality and aggression.
ETC_20150211_000218	양초거미	Candle spider
ETC_20150211_000219	푸른 양초거미	Blue candle spider
ETC_20150211_000220	노란 양초거미	Yellow Candle Spider
ETC_20150211_000221	시체꽃	Corpse flower
ETC_20150211_000222	푸른 시체꽃	Blue body of flowers
ETC_20150211_000223	초록 시체꽃	Green Corpse Flower
ETC_20150211_000224	날개 개구리	Flying Frog
ETC_20150211_000225	개구리는 환경에 따라 다양한 형태로 몬스터화 되었는데 이 경우에는 날개를 지니도록 변형되었습니다.	Frog Depending on the environment, in this case it is a monster in various forms, has been deformed who have wings.
ETC_20150211_000226	초록 날개 개구리	Green Wing Frog
ETC_20150211_000227	회색 날개 개구리	Gray Wing Frog
ETC_20150211_000228	우산이끼	Liverwort
ETC_20150211_000229	우산이끼v2	Liverwort v2
ETC_20150211_000230	잎방개	Leaf Bug
ETC_20150211_000231	잎방개의 속은 비어있지 않습니다. 	Leaf Bug's inside is not empty.
ETC_20150211_000232	카타콤 잎방개	Catacomb Leaf Bug
ETC_20150211_000233	킹 우산이끼	King Liverwort
ETC_20150211_000234	불길한 킹 우산이끼	Unfortunate Liverwort
ETC_20150211_000235	살라미온	Salamion
ETC_20150211_000236	살린디	Salindi
ETC_20150211_000237	살룬	Salun
ETC_20150211_000238	묘지골렘	Gravegolem
ETC_20150211_000239	본래는 좋은 의도로 만들어졌으나 지금은 악한 기운에 영향을 받아 움직이는 골렘입니다.	Originally have been made in good faith, now is a golem that moves under the influence evil aura.
ETC_20150211_000240	드레이크	Drake
ETC_20150211_000241	탑의 공략을 위해 마족들이 마계에서 차출한 하위마족입니다. 	It is a sub Asmodian that Asmodian was elected in Makai for Cheats tower.
ETC_20150211_000242	초록 드레이크	Green Drake
ETC_20150211_000243	하급 마족으로 마계에는 이들이 수를 셀 수 없을 정도로 많고 종류도 다양하다고 합니다.	The Makai the lower Asmodian many types as it is not possible to count these numbers also a plentiful.
ETC_20150211_000244	검은 드레이크	Black Drake
ETC_20150211_000245	이들은 원래 희귀한 생물이었으나 근래 숫자가 늘어났습니다.	These are a former of rare species, in recent years of the number has increased.
ETC_20150211_000246	빅 코카트리스	Big_Cockatries
ETC_20150211_000247	대형 코카트리스입니다. 위험성, 특히 석화위험성은 아무리 강조해도 지나치지 않습니다.	Is a large cockatrice. Risk of danger, especially petrochemical, there is no be too emphasized.
ETC_20150211_000248	초록 코카트	Green Kokateu
ETC_20150211_000249	붉은 코카트	Red Kokateu
ETC_20150211_000250	세콰이아	Sequoia
ETC_20150211_000251	푸른 세콰이아	Blue Sequoia
ETC_20150211_000252	코럽티드	Corrupted
ETC_20150211_000253	푸른 코럽티드	Blue Corrupted
ETC_20150211_000254	누덕고치	Bagworm
ETC_20150211_000255	누덕고치는 더 이상 발생하지는 않지만, 현재 개체수만으로도 멸종을 걱정할 필요가 없는 몬스터입니다. 	Nudoku fixed no longer occur, but monsters do not need to worry about the extinction only the current number of individuals.
ETC_20150211_000256	누덕고치트	Barworm cheat
ETC_20150211_000257	세콰이아의 불길	Sequoia Flame
ETC_20150211_000258	본체에서 오랜 시간 멀어지면 자연히 소멸됩니다.	You naturally disappear and leave a long time in the body.
ETC_20150211_000259	누덕 갈고리	Old Hook
ETC_20150211_000260	큰 몬스터에게 갈고리를 사용하여 붙어서 마계로부터 넘어온 후 많은 변화를 한 몬스터입니다. 	After came from Makai will be given by using a hook to big monster, it is a monster that has a lot of change.
ETC_20150211_000261	몽당 나무	Short tree
ETC_20150211_000262	벌목이 줄었어도 그루터기에서 기인한 이 몬스터는 계속 생깁니다. 수목형 몬스터의 잔재에서 생성이 목격됩니다. 	this monster that logging is due to the stub also decreased I occurs much. Generated by the residue of trees type monster is witnessed.
ETC_20150211_000263	카타콤 묘지골렘	Catacomb Gravegolem
ETC_20150211_000264	뿌리두더쥐	Root Mole
ETC_20150211_000265	포이밍	Poiming
ETC_20150211_000266	나무뿌리 두더지	Root of the tree mole
ETC_20150211_000267	미르티스의 눈	Eye of Mirtis
ETC_20150211_000268	대형 미르티스의 눈	Eye of Great Mirtis
ETC_20150211_000269	돌	Stone
ETC_20150211_000270	부베 박멸용 폭탄	Vubbe Extermination Bomb
ETC_20150211_000271	시한폭탄 (스코어던전 전용)	Time bomb (score dungeon only)
ETC_20150211_000272	시한폭탄	Time bomb
ETC_20150211_000273	OBB돌	OBB stone
ETC_20150211_000274	남자 마법사	Male Wizard
ETC_20150211_000275	여자 마법사	Female Wizard
ETC_20150211_000276	파손된 봉인	Damaged seal
ETC_20150211_000277	죄악의 상징	Symbol of Sin
ETC_20150211_000278	(임시)감옥 통제 장치	(Temporary) prison control device
ETC_20150211_000279	쓰러진 경비병	Collapsed guard
ETC_20150211_000280	용병	Mercenary
ETC_20150211_000281	유령 병사	Ghost Soldier
ETC_20150211_000282	탈영병	Deserter
ETC_20150211_000283	광증걸린 전투병	Lunatic Soldier
ETC_20150211_000284	묶인 전투원	Tied combatants
ETC_20150211_000285	용병 장교	Officials of the mercenary
ETC_20150211_000286	용병 대장	Condottiere
ETC_20150211_000287	방패 용병	Shield Mercenary
ETC_20150211_000288	유령 갑옷	Ghost Armor
ETC_20150211_000289	대형 유령 갑옷	Large ghost armor
ETC_20150211_000290	신도 유령	Follower Ghost 
ETC_20150211_000291	유령 소년	Boy Ghost
ETC_20150211_000292	유령 아줌마	Madam Ghost
ETC_20150211_000293	유령 아저씨	Ghost Uncle
ETC_20150211_000294	신도 유령 수장	Follower Ghost Leader
ETC_20150211_000295	신도 유령(분신)	Follower Ghost  (alter ego)
ETC_20150211_000296	뿔 세눈박이	Three eyed horn
ETC_20150211_000297	날개 세눈박이	Three Eyed Wing
ETC_20150211_000298	신도	Follower
ETC_20150211_000299	좀비 중보병	Heavy Infantry Zombie
ETC_20150211_000300	매직북	Magic Book
ETC_20150211_000301	덜 익은 호박	Pumpkin that is not ripe
ETC_20150211_000302	잘 죽는 양파	Well die onion
ETC_20150211_000303	피통 큰 양파	Large HP Onion
ETC_20150211_000304	호박 타겟	Amber Target
ETC_20150211_000305	방책	Measure
ETC_20150211_000306	디펜스 수호물	Defense Guardian
ETC_20150211_000307	바바우지스	Babauzi
ETC_20150211_000308	나사 좀비	Nejizonbi
ETC_20150211_000309	좀비 광전사	Zombie berserk
ETC_20150211_000310	양초 좀비	Candle Zombie
ETC_20150211_000311	좀비 궁수	Zombie shooter
ETC_20150211_000312	휠체어 좀비	Wheelchair Zombie
ETC_20150211_000313	하이 부베 궁수	High Bubbe Archer
ETC_20150211_000314	데스모두스	desmodus
ETC_20150211_000315	일설에는 마족들이 전령으로 이용한다고도 합니다.	One theory, you may Asmodian to use the messenger.
ETC_20150211_000316	트레저 부베	Treasure Vubbe
ETC_20150211_000317	부베 약탈자	Vubbe Thief
ETC_20150211_000318	인간들에게 가장 자주 목격되는 부베입니다.	The most frequently seen Vubbe.
ETC_20150211_000319	붉은 부베 약탈자	Red Vubbe Robber
ETC_20150211_000320	지난 몇 년간 부베 사회는 시간이 지날수록 급격히 분화되고 복잡해져 왔습니다. 	Over the past years Vubbes have become complex and differentiated.
ETC_20150211_000321	푸른 부베 약탈자	Blue Vubbe Thief
ETC_20150211_000322	부베 광부	Vubbe Miner
ETC_20150211_000323	채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다. 	Frequently seen mining but since Vubbe's social system is unknown, we don't know if their roles are permanent.
ETC_20150211_000324	붉은 부베 광부	Red Vubbe Miner
ETC_20150211_000325	푸른 부베 광부	Blue Vubbe Miner
ETC_20150211_000326	대형 부베 광부	Large Vubbe Miner
ETC_20150211_000327	부베 궁수	Vubbe Archer
ETC_20150211_000328	부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.	Vubbe Archers specialize in using weapons. This is why some people claim that each vubbe has specific roles.
ETC_20150211_000329	붉은 부베 궁수	Red Vubbe archer
ETC_20150211_000330	부베들이 만든 활과 화살을 수거해서 사용하는 일도 가능하긴 합니다.	It is possible to collect and use bows and arrows the Vubbes made.
ETC_20150211_000331	눈팅이	Fine observation
ETC_20150211_000332	눈까리	Eye
ETC_20150211_000333	감옥 간수	Prison Guard
ETC_20150211_000334	팔라딘 추종자A1	Paladin believer A1
ETC_20150211_000335	팔라딘 추종자A2	Paladin believer A2
ETC_20150211_000336	팔라딘 추종자A3	Paladin believer A3
ETC_20150211_000337	폭발 지뢰	Explosion Mine
ETC_20150211_000338	맹독 지뢰	Toxic mine
ETC_20150211_000339	대인 지뢰	Antipersonnel mines
ETC_20150211_000340	불지옥 지뢰	Hell mine
ETC_20150211_000341	마을사람	Villager
ETC_20150211_000342	아기천사상	Baby angel statue
ETC_20150211_000343	홀 석상	Hall Statue
ETC_20150211_000344	히든 트리거 몬스터형	Hidden Trigger Monster Type 
ETC_20150211_000345	부엉이 조각상	Carve Owl
ETC_20150211_000346	투명 오브젝트	Transparent Object
ETC_20150211_000347	파이어 볼	Fire Ball
ETC_20150211_000348	자주포 거북 껍질 대	Armed Tortoise Shell Large
ETC_20150211_000349	자주포 거북 껍질	Armed Tortoise Shell
ETC_20150211_000350	남자 배교자(3D)	Male Apostate (3D)
ETC_20150211_000351	여자 배교자(3D)	Female Apostate (3D)
ETC_20150211_000352	수정	Modification
ETC_20150211_000353	어보미네이션	Word Pome Nation
ETC_20150211_000354	하이 부베 투사	High Vubbe Fighter
ETC_20150211_000355	몬스터 위저드	Monster Wizard
ETC_20150211_000356	포대(임시)	Battery (temporary)
ETC_20150211_000357	얼음 덩어리	Block of ice
