QUEST_20150211_000001	퀘스트 수정이 필요한 유저를 선택해주세요.	Please select the required user quest fixes.
QUEST_20150211_000039	당신의 사랑을 받고 자란 컴패니언은 탑승자의 체력과 회피율을 높여줄 거예요.{nl}어때요. 이만 하면 멋진 당신의 동반자가 아닐까요?	Companion that grow up with your love will increase the stamina and evasion of its rider. {nl} What doyou think? Isn't it a companion good enough for you?
QUEST_20150211_000040	상자에 맞는 열쇠가 필요합니다.	To fit the box you will need a key.
QUEST_20150211_000041	퀘스트 선택	Select Quest
QUEST_20150211_000042	퀘스트 상태변경	Changing the quest of state
QUEST_20150211_000043	강제 시작?	Force start?
QUEST_20150211_000044	삭제할 아이템	Delete items
QUEST_20150211_000045	GenType 선택	GenType selection
QUEST_20150211_000046	좌표 선택	The choice of coordinates
QUEST_20150211_000047	기사 티타스	Knight Titas
QUEST_20150211_000048	맞다면 클라페다의 기사단장 우스카님을 찾아가게.{nl}하지만 그 전에 긴히 할 얘기가 있으니 따라오게.	If so, go find Knight Commander Uska in Klaipeda. {Nl} But before that, I have something to tell you so follow me. 
QUEST_20150211_000049	잠시 쉴 틈이 있으면 좋겠군.. 	Jotogetogun if there is a time to rest for a while.
QUEST_20150211_000050	스파르나스..{nl}만만치 않은 상대..	Suparu Nass .. {nl} formidable opponent.
QUEST_20150211_000051	병사 무디	Soldier Moody
QUEST_20150211_000052	우선 이 몬스터를 처리하고 이야기하지요.	First of all, I'm talking about by treating this monster.
QUEST_20150211_000053	합동조사단 스캇	Joint investigation team Scott
QUEST_20150211_000054	우리 합동조사단이 필요 없어지는 날이 빨리 왔으면 좋겠는데..{nl}아, 평화로운 세상 말이야. 하하..{nl}	I wish our joint investigation team has come early there is no day need. {Nl} Oh, peaceful world. Mother .. {nl}
QUEST_20150211_000055	처음부터 시작하려니 감이 잡히는 게 없네.{nl}혹시 넌 뭐 들은 건 없어?	I do not have the good sense is that it will start from the beginning. {Nl} and maybe what you have nothing?
QUEST_20150211_000056	우린 왕실의 명령으로 이 숲에서 벌어지고 있는 기이한 사건을 조사하러 왔어.{nl}목격자들 말로는 커다란 얼굴과 앙상한 손가락을 보았다는군.{nl}도대체 그게 뭐람?	We were sent by the kingdom to investigate on the strange incidents taking place in the forest. {Nl} Witnesses say they saw huge face and bony fingers  {nl} What could that be?
QUEST_20150211_000057	과거에는 순례자들이 이 숲을 거쳐 가는 일도 있었죠.{nl}하지만 지금은 몬스터 때문에 병사들만 가득하네요.	In the past, pilgrims were sometimes go through this forest. {Nl} However, I am full soldier only for monsters now.
QUEST_20150211_000058	4년 전까지만 해도 여신들께선 종종 모습을 드러내셨죠.{nl}그런데 지금은 아무리 기도를 드려도 미동조차 없으시네요.{nl}정말 우리를 버리신 걸까요?	Until 4 years ago, the Goddesses occasionally showed themselves from time to time. {Nl} But now, they do not appear no matter how hard we pray. {Nl} Could they really have abandoned us?
QUEST_20150211_000059	바세닌님께서는 각 지역을 직접 오가면서 일을 처리하십니다.{nl}도시에 계시면 답답하시다면서 말이죠.	Vecenin takes care of things by going back and forth to each area himself. {Nl} He says it's too stuffy to just stay in one city.
QUEST_20150211_000060	혹시 여기 계속 머무르시거나 군인이 되실 생각은 없으십니까?{nl}생각이 있다면 제가 상부에 잘 말해보겠습니다.	Have you thought about staying here permanently or becoming a soldier? {Nl} I'll gladly recommend you to the head commanders. 
QUEST_20150211_000061	언제 어디서 몬스터가 덤빌지 모르니 방심할 수 없어요.	Don't let your guard down. You'll never know when and where the monsters will emerge. 
QUEST_20150211_000062	제미나 여신께선 도대체 어디로 가셨는지..	I wonder where Goddess Zemyna is..
QUEST_20150211_000063	이게 다 도대체 뭐랍니까.	This is all what the heck Rapunika.
QUEST_20150211_000064	 누구보다도 대지의 여신인 제미나님께서 슬퍼하실 겁니다.	Who'll be first of all the earth goddess Mina Spirit will mourn.
QUEST_20150211_000065	포쿠부는 예전에도 본 적이 있죠.{nl}하지만 이 녀석 말고도 가끔 알 수 없는 몬스터도 나타납니다.	Pokubus have been around since before. {Nl} But unknown monsters are also spotted sometimes.
QUEST_20150211_000066	제 생각에는요. 여신께서 우리를 버린 게 틀림없어요.{nl}그게 아니라면 몬스터가 저렇게 많을 리 없죠.	I think my idea. Goddess must have been abandoned us. {Nl} will have no Lee that as many monsters if it is not.
QUEST_20150211_000067	이 근방 숲에 여신의 힘을 받은 사람이 산다는데..	To refer to the lives of people who received the goddess of power in the forest of this around ..
QUEST_20150211_000068	고향으로 돌아가고 싶습니다.	You would like to return to his hometown.
QUEST_20150211_000069	여기서 아무리 몬스터를 잡아도 도통 줄어들지 않습니다.	The amount of monsters doesn't seem to lessen no matter how much we kill 
QUEST_20150211_000070	계시자라니, 줄리안이 보낸 거요?	Clearly Jarani, do you Julian has been sent?
QUEST_20150211_000071	그럴 리가 없어요.{nl}최근 몇 년간 이 숲에서 만난 사람은 당신이 처음인걸요.{nl}	There is no why. {Nl} who met in the woods the last few years, you but first is. {Nl}
QUEST_20150211_000072	제가 본 것을 보여드릴게요.	I will introduce that I've seen.
QUEST_20150211_000073	내 걱정은 말고 그냥 돌아가시오.{nl}아, 예쁜 꽃들이 몰려오는구먼.	My worry is not, just please back. {Nl} Oh, No gather beautiful flowers.
QUEST_20150211_000074	레나	Rena
QUEST_20150211_000075	당신의 소중한 경험담을 들려주세요.{nl}저희 교단에서는 바이보라님의 의지에 따라 세상의 모든 것을 기록하고 있답니다.	Tell me about your life experiences. {Nl} Following Vivora's words, we record everything that happen in the world.
QUEST_20150211_000076	헤느리카	F slow car
QUEST_20150211_000077	안녕하세요. 마법협회 클라페다 지부입니다.{nl}저희는 특별한 물건들이 모일 때 벌어지는 신비한 현상에 대해 연구하고 있답니다.	Hello. This is the Magical Association's Kalipeda Branch. {Nl} We study the mysterious things that happen when gathering special materials. 
QUEST_20150211_000078	여긴 아무리 봐도 습기랑 부베밖에 없는 것 같아.{nl}이런 데에서 커다란 얼굴이라니, 도대체 뭐가 튀어나왔다는 걸까?	There's only steam and Vubbes here. {Nl} A big face in here.. What could it be?
QUEST_20150211_000079	나라도 정신 차려야지.{nl}아직 세상이 망한 것은 아니니.. 그렇지?	Country must also discern spirit. {Nl} is still not it the world was destroyed. So?
QUEST_20150211_000080	호의가 계속되면 그게 권리인 줄 안다는 말이 있지.{nl}어쩌면 우리가 너무 여신께만 기댄 게 화를 부른 건 아닐까 생각돼.	When the favor is continued, it was a story to know that it is right. {Nl} Maybe we too thought that it might be led to a reduction of only inclined to be dedicated goddess.
QUEST_20150211_000081	알림판	Message board
QUEST_20150211_000082	천혜의 광산도시 클라페다에 오신 것을 환영합니다!	Welcome to the mining town Klaipeda of blessing!
QUEST_20150211_000083	담담한 미망인	Calm widow
QUEST_20150211_000084	이유는 저도 잘 몰라요. {nl}하지만 확실한 건, 여신들께선 한꺼번에 사라지신 게 아니라는 거에요.	I don't know the reason. {Nl} But one thing certain is that the Goddesses didn't disappear all together.
QUEST_20150211_000085	제일 먼저 자취를 감추신 분은 가비야 여신이라고 해요.{nl}아주 오래 전의 일이라고 들었어요.{nl}가비야 여신을 시작으로 한 분씩 응답이 없으셨다고 해요.{nl}	The first Goddess to disappear was Goddess Gabija. {Nl} I heard it was a long time ago.  {nl} Then afterwards, other Goddess began not responding one by one. {nl}
QUEST_20150211_000086	바카리네 여신께선 신수의 날 전에 사라지셨다고 하셨고요.{nl}마지막엔 제미나 여신과 아우슈리네 여신을 끝으로 모든 여신께서 사라지시고 말았죠.{nl}그게 벌써 4년 전 일이네요. {nl}	I was now caught disappeared in front of me just yes goddess Quezon God Beast. The {nl} Finally, difficult all the goddess disappears at the end of the first Mina goddess and brother-chan your goddess, Maruatojo. {Nl} it is ne thing of another four years ago. {Nl}
QUEST_20150211_000087	맞아요. 제일 이상한 건 라이마 여신이세요.{nl}언제 사라지신 건지 아무도 모르거든요.{nl}	That's right. Goddess Laima was the strangest. {Nl} Nobody knows when she disappeared. {Nl}
QUEST_20150211_000088	게다가 라이마께선 운명과 예지의 여신이시잖아요? {nl}아마 전부 알고 계시지 않았을까요?	Besides, Goddess Laima is the Goddess of fate and foresight, right? {Nl} She must have known everything beforehand isn't it? 
QUEST_20150211_000089	휴식중인 병사	Soldier in break
QUEST_20150211_000090	저도 왕년에는 당신처럼 잘 나가는 모험가였지만 무릎에 화살을 맞아서 그만..{nl}	I also can yesteryear, but was your as well go adventure, stop by celebrated the arrow to the knee .. {nl}
QUEST_20150211_000091	그래도 상관없습니다. 몬스터따위 나와 보라지요!{nl}	Still, there is no problem. Let's out Nante monster! {Nl}
QUEST_20150211_000092	저번엔 여신께서 나오는 꿈을 꾸었는데.. {nl}얼마나 황홀하던지..{nl}	Last time I had a dream that goddess comes out. How to ecstasy {nl}. {Nl}
QUEST_20150211_000093	하지만 왕국을 지켜야 하는 의무가 있기 때문에 지금 여기 있는 겁니다.	However, because there is a duty that must abide by the kingdom, and I'm here now.
QUEST_20150211_000094	우스카라면 제 오랜 친구였지요.{nl}	Uska was an old friend of mine. {Nl}
QUEST_20150211_000095	저랑 같이 기사 시험을 봤는데, 제 헌신적인 도움으로 지금의 우스카가 될 수 있었던 거지요.{nl}아아, 그땐 참 재밌었는데.. 보고 싶다, 우스카!	Has been a test of such article with me, with the help the devoted help, So you were able to be now of mouse car. {Nl} Oh, it was really fun at that time. I want to see, Usuka!
QUEST_20150211_000096	저 친구 말 너무 믿지 않는게 좋습니다.{nl}우리 동네 유명한 허풍쟁이였으니까요.{nl}	Because the friend says, and do not believe it is good. {Nl} Because I was famous Horafuki of town. {Nl}
QUEST_20150211_000097	저요? 그냥 재밌으니까 내버려 두는 거지요.	Me? It is not left alone just because it interesting.
QUEST_20150211_000098	음.. 너무 믿지 말란 말 취소하지요.{nl}	Hmm .. I canceled guarantee words that it is not believe too. {Nl}
QUEST_20150211_000099	전부 다 거짓말이니까 저 녀석 입에서 나오는 모든 말은 믿지 마세요.	All Because it lie all the words that come out from the guy in the mouth and do not believe.
QUEST_20150211_000100	샤울레이 경비병	Siauliai Guard
QUEST_20150211_000101	여기서부턴 몬스터가 나오니 위험한 행동은 자제하시길 바랍니다.	Risky behavior that monster come out from here I will refrain. Qty.
QUEST_20150211_000102	여기 숲도 썩 평화로운 건 아닙니다만, 그래도 다른 지역보단 나을 겁니다.{nl}어떤 숲은 사람은 없고 영혼만 돌아다닌다고 하더라고요.	This place is not that peaceful but it's be better than other areas. {Nl} In some other woods, there are no people but only the spirits roaming around.
QUEST_20150211_000103	당신처럼 여신께서 나오는 꿈을 꿨다는 사람들을 모두 계시자라고 불러요.{nl}	People like you who dreamed about the Goddess, we call them the Revelators. {Nl}
QUEST_20150211_000104	처음엔 계시자들을 보고 다들 정신이 나갔다고 생각했었어요.{nl}여신께서 자취를 감추신 지 오래되었으니까요.{nl}	At first I thought the Revelators were insane. {Nl} It has been a while since the Goddesses disappeared. {Nl}
QUEST_20150211_000105	4년 전의 신수의 날에도 우리들의 기도에 아무런 응답이 없으셨잖아요?	After all, they did not answer us on the Divine Day four years ago.
QUEST_20150211_000106	왕국 곳곳에 각 직업의 마스터들이 계십니다.{nl}그분들을 찾아가 가르침을 받는 건 어떨까요?	Masters of each class are located all around the kingdom. {Nl} Why don't you find them and learn from them? 
QUEST_20150211_000107	모르세요? 진짜로 외진 곳에서 오셨나 보네요.{nl}4년 전에, 수도의 중앙에서 신수가 솟아오르면서 폭주한 일 말이에요.{nl}	You do not know about it? You must be from a really remote area. {Nl} It's the day the Divine monument at the center of the capital soared up and went mad. {Nl}
QUEST_20150211_000108	그 재앙으로 인해 정말 많은 사람들이 죽거나 다쳤죠.{nl}얌전했던 몬스터들도 흉폭해지고 새로운 몬스터도 많이 생겨났어요.{nl}	It was a disaster and many people were hurt or lost their lives. {Nl} Even the gentle monsters became ferocious and new monsters emerged. {Nl}
QUEST_20150211_000109	4년 전의 신수의 날이 더 궁금하시다면 클라페다로 가 보세요.{nl}그 때 살아남은 사람들 중에 클라페다로 피난 온 사람들이 꽤 많으니까요.	Go to Klaipeda if you are curous about the Divine day four years ago. {Nl} Many of those who survived that day fled to Klaipeda.
QUEST_20150211_000110	동쪽 숲 경계병	Easter Woods Sentinel
QUEST_20150211_000111	동쪽 숲으로 들어가시려는 겁니까? {nl}절대 가지 마세요. 위험합니다!{nl}	Do you Kudasaro entered the east of the forest? {Nl} do not go absolutely. Is dangerous! {Nl}
QUEST_20150211_000112	윽, 이 끈질긴 놈들 여기까지 쫓아오다니..!!	Painful, persistent guys Nante come chasing up here .. !!
QUEST_20150211_000113	이 비명소리는.. 습격입니다!	This scream... It's an attack!
QUEST_20150211_000114	안전 수칙	Safety Precautions
QUEST_20150211_000115	1. 허가받은 인원 외엔 절대 출입 금지.{nl}2. 반드시 광산 소장의 인솔 하에 움직일 것.{nl}	1. Only authorized personnel may enter. {Nl} 2. Move only under the guidance of Mine director. {Nl}
QUEST_20150211_000116	3. 폐쇄된 구역은 절대 접근 금지. {nl}함부로 접근하려는 자를 발견 시 클라페다 기사단에 신고하시오.	3. Never enter prohibited areas. {Nl} 4. Report anyone who tries to enter the Mines without permission to Klaipeda Knight Templars.
QUEST_20150211_000117	보급기지 병사	Soldier of supply base
QUEST_20150211_000118	실전에 익숙하지 않아 긴장됩니다.	I'm not yet familiar with actual battle so I'm a bit nervous.
QUEST_20150211_000119	농장 경계병	Farm Sentinel
QUEST_20150211_000120	제 동료는 광산 마을에서 교전 중입니다.{nl}생각 같아선 지원을 가고 싶지만 동쪽 숲까지 난리이니 그저 걱정입니다.	My colleagues, is at war in the town of mine. The same is considered to {nl} I want to go the support, it is Because it is desperate to east of forest just worry.
QUEST_20150211_000121	이번 임무로 평생 마주칠 몬스터는 실컷 본 것 같습니다.{nl}기껏해야 부베 정도나 몰려 다녔죠.	I think I've seen all the monsters I need to see in my life through this mission. {Nl} It used to be just a group of Vubbes. 
QUEST_20150211_000122	츄파카브라들은 주로 위쪽의 개울과 수풀이 우거진 곳을 좋아한다고 합니다.	Chupacabras like to stay near the creek and lush greenery of the northern area. 
QUEST_20150211_000123	클라페다 경비병 대장	Klaipeda Guard Captain
QUEST_20150211_000124	당신이 바로..	You are the..
QUEST_20150211_000125	여기서 숲 위쪽의 깊숙한 곳에서 보았다고 하더군.{nl}혹시 모르니 너무 자극하진 말고.	I heard they were seen in the depths of upper forest area. {Nl} To be safe, do not stimulate them too much. 
QUEST_20150211_000126	퀘스트에 필요한 아이템이 없습니다. 생성 후 진행 하시겠습니까?	You do not have the items needed for the quest. Do you want to proceed after creating it?
QUEST_20150211_000127	클라페다 소녀	Klaipeda girl
QUEST_20150211_000128	저 아저씨는 옆집에 사시는 분인데요, 예전엔 몬스터 사냥꾼이셨대요.{nl}하지만 지금은 그만 두셨대요. 너무 흉폭해서 위험하대요.	That man is my neighbor and he used to be a monster hunter. {Nl} But now he's stopped because the monsters are too ferocious and dangerous.
QUEST_20150211_000129	계시자들이 나타났다는게 여신께서 돌아오신다는 징조라면 참 좋을 텐데요.	I hope the Revelators showing up is the sign of the Goddesses returning.
QUEST_20150211_000130	여신께만 기대는 건 바보 같은 짓이지만 기댈 곳도 없어지는 것보단 나은 것 같습니다.	Depending solely on the Goddess is a stupid thing, but seems better than having nowhere to depend on.
QUEST_20150211_000131	클라페다 귀부인	Klaipeda Madam
QUEST_20150211_000132	아직도 땅에선 작물들이 자라나고 집에선 따뜻하게 불을 피울 수 있어요.{nl}저는 아직도 여신께서 어딘가에 반드시 계실 거라고 믿고 있습니다.	I am still bloom fire warm at home growing crops in the land. {Nl} I'm still thinking whether goddess somewhere always come to.
QUEST_20150211_000133	기도하세요.{nl}여신께서 우리를 구원해 줄 누군가를 보내주실 겁니다.	Please pray. {Nl} The Goddess will send someone to save us. 
QUEST_20150211_000134	하플라이트 마스터	The flight master
QUEST_20150211_000135	검이 권위의 상징이라면 창은 순수한 살상 무기 그 자체입니다.{nl}권위와 무기. 만약 당신이 전쟁터에 있다면 어떤 것을 드시겠습니까?	If the sword is a symbol of authority, the spear is itself a pure weapon of destruction. {Nl} Authority and weapon. What would you choose if you were in a battlefield?
QUEST_20150211_000136	기계 제작 장인	Machine Making Artisan
QUEST_20150211_000137	아무리 세상이 이지경이라도 일을 놓을 순 없소.{nl}이제 4년이나 흘렀으니 마음을 추스리고 다시 시작해야하지 않겠소?	How much net Opuso the world is put to work in this way. {Nl} because now passed since four years and what should not restart summarized the mind.
QUEST_20150211_000138	클라페다는 광산으로 먹고 사는 도시요.{nl}신수의 날 따위로 우리가 일을 놓는다면 아마 나무나 깎아서 생활해야 할 거요.	Mining is the livelihood of Klaipeda. {nl} If we stop working because of the so called Divine Day, we will probably have to live by carving trees.
QUEST_20150211_000139	아저씨가 그러셨는데요, 할 수만 있다면 구석구석을 잘 살피는 게 좋대요.{nl}가끔 운이 좋으면 보물상자를 발견할 수도 있다네요. 누가 갖다 놨을까?	Uncle said you should look around carefully if you can. {Nl} Sometimes, when you're lucky, you might find treasure chests around. I wonder who would've brought it?
QUEST_20150211_000140	은퇴한 사냥꾼	retired Hunter
QUEST_20150211_000141	일전에 깊은 협곡에서 병사들이 거대한 몬스터와 싸우는 걸 봤소.{nl}그 엄청난 몬스터를 쓰러뜨린 것도 대단하지만 전리품이 어마어마하더군.	There are things that soldiers fight a huge monster in the other day deep canyon. {Nl} the huge amazing but loot even had defeated the monster was great.
QUEST_20150211_000142	도자기 빚는 노인	Pottery charged elderly
QUEST_20150211_000143	도자기 하나에 소원 하나씩 담는 것일세.{nl}그러다 보면 언젠간 여신의 은총이 이 도자기 전부에 가득 차겠지.	It looks that put each pottery one wishes. If {nl} so, the grace of goddess would be full of all ceramics someday.
QUEST_20150211_000144	검사 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림이나 강한 체력을 키울수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.	Warrior types go for Strength. {Nl} But you can also opt for agile movement or constitution. {Nl} You should weigh your options first on what you want to become.
QUEST_20150211_000145	마법사 계열이라면 역시 지능이죠.{nl}하지만 마법을 자주 사용하려면 정신력도 잊지 말아야 합니다.{nl}균형과 집중 중에서 잘 선택하셔야 해요.{nl}	Wizard types go for Intelligence. {Nl} But you should not forget Spirit if you want to use your magic often. {Nl} Choose well between balance and concentration. {Nl}
QUEST_20150211_000146	궁수 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림을 빼 놓을 순 없겠지만요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.{nl}	Archer types go for Strength. {Nl} But you can't leave out agility. {Nl} You should weigh your options first on what you want to become. {Nl}
QUEST_20150211_000147	성직자 계열이라면 역시 지능이죠.{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 거예요.{nl}	Cleric types go for Intelligence. {Nl} But you may also need great strength or spirit too. {Nl} You should weigh your options first on what you want to become. {Nl}
QUEST_20150211_000148	도펠죌트너 마스터	Doppelsoldner master
QUEST_20150211_000149	위험한 일일수록 가치 있는 경우가 많지.{nl}높은 보수를 원한다면 당연히 그만한 위험을 감당해야 할 줄도 알아야 하고.	In many cases that is worth about is a dangerous job. {Nl} If you want to high reward, and to know also must withstand natural moderate risk.
QUEST_20150211_000150	커세어 마스터	Corsair master
QUEST_20150211_000151	나에게 도움이 되는 일이 없다면 굳이 남을 돕는 고생을 할 필요는 없지.	Without that help me, do not dare need to struggle to help others.
QUEST_20150211_000152	바위	Rock
QUEST_20150211_000153	커다란 바위로 막혀있다..	I'm stuck in the big rock.
QUEST_20150211_000154	망가져 수리가 필요하다..	Broken there is a need for repair.
QUEST_20150211_000155	바위로 막혀있다..	I'm stuck in the rock.
QUEST_20150211_000156	마법 연구 자료	Research material of magic
QUEST_20150211_000157	마법사의 탑에 있던 어느 마법사가 쓴 듯한 연구 자료가 보인다.{nl}베껴갈까?	Research materials, such as is wizard who was in tower wrote of the wizard I seen. {Nl} or go copy?
QUEST_20150211_000158	은신과 잠입에만 능하다고 만사가 아냐.{nl}전투기술도 갖추고 있어야 진정한 스카우트지.	Latency and infiltrate only function and things are not. {Nl} must also has a combat technology, whether true scout.
QUEST_20150211_000159	여행을 하다 보면 사소한 물건들이 아쉬울 때가 많지요. {nl}미리 충분히 사두는 것이 좋답니다.	I'm often when trivial is regrettable it and try to travel. {Nl} is prior to the good likely is that you buy enough.
QUEST_20150211_000160	제어 마법의 주문이 끊긴다면 더 이상 계시를 지킬 수 없다.	If the control magic spell is broken, it can not be kept longer evident.
QUEST_20150211_000161	이름 모를 도둑의 비석	Thief of monument of unknown name
QUEST_20150211_000162	나 즈벡은 이 비문을 남긴다.{nl}최고의 도둑이라는 자부심을 걸고 역사상 가장 강력하다는 마법사에게 도전할 것이다.	I Jubeku is, leave this inscription. To challenge the most powerful and is wizard in history over the pride that {nl} best thief.
QUEST_20150211_000163	하지만 이 내가 도둑질만 한다고 해서 성공이라 할 수 있을까?{nl}물론 위대한 대마법사를 상대로 그 정돈 훌륭한 성공이랄수도 있겠지.{nl}	However, whether this can be a success I say that only theft? {Nl} of course, to the other party a great big wizard, there will also be said that the trimmed great success. {Nl}
QUEST_20150211_000164	하지만 나는 아니다. {nl}나는 당대 최고가 아니라 역사 제일의 도둑이고자 한다.{nl}	However, I do not. {Nl} I contemporary best, not to try to be the best of the thief of history. {Nl}
